34	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.06	0.06	0	|	-20.0	0.10(-20)	0.06(-20)	|	7120	7120	7120	7120	7120	
34	5000	ok	|	1.00	1.00	0.99	3.29	0.82	1	|	inac	1.00	3.29	1	|	-20.0	3.29(-20)	3.29(-20)	|	7120	7120	7120	7120	7120	
35	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.10	0	|	92.0	0.10(92)	0.10(92)	|	4148	4148	4148	4148	4148	
35	1601	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	4148	4148	4148	4148	4148	
36	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.00	0.00	0	|	-99.0	0.10(-99)		|	740	740	740	740	740	
36	5000	ok	|	0.95	1.00	0.12	2.05	0.51	0	|	shot	0.95	2.05	0	|	-99.0	2.05(-99)	2.05(-99)	|	740	740	740	740	740	
37	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.08	0.09	0	|	-46.0	0.10(-46)	0.09(-46)	|	9589	9589	9589	9589	9589	
37	85	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9589	9589	9589	9589	9589	
38	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.04	0.04	0	|	9.0	0.10(9)	0.04(9)	|	3530	3530	3530	3530	3530	
38	5000	ok	|	1.00	1.00	0.98	2.00	1.00	1	|	inac	1.00	2.00	1	|	9.0	2.00(9)	2.00(9)	|	3530	3530	3530	3530	3530	
39	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	3.0	0.10(3)	0.01(3)	|	795	795	795	795	795	
39	5000	ok	|	1.00	1.00	0.88	4.00	1.00	2	|	inac	1.00	4.00	2	|	3.0	4.00(3)	4.00(3)	|	795	795	795	795	795	
40	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.08	0	|	55.0	0.10(55)	0.08(55)	|	5731	5731	5731	5731	5731	
40	5000	ok	|	0.88	1.00	1.00	1.30	0.65	0	|	shot	0.88	1.30	0	|	55.0	1.30(55)	1.30(55)	|	5731	5731	5731	5731	5731	
41	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-95.0	0.10(-95)	0.01(-95)	|	8231	8231	8231	8231	8231	
41	5000	ok	|	1.00	1.00	0.89	2.27	0.57	1	|	inac	1.00	2.27	1	|	-95.0	2.27(-95)	2.27(-95)	|	8231	8231	8231	8231	8231	
42	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.00	0.00	0	|	-99.0	0.10(-99)		|	4364	4364	4364	4364	4364	
42	5000	ok	|	1.00	1.00	0.33	5.84	0.73	1	|	inac	1.00	5.84	1	|	-99.0	5.84(-99)	5.84(-99)	|	4364	4364	4364	4364	4364	
43	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.00	0.00	0	|	-96.0	0.10(-96)	0.00(-96)	|	4843	4843	4843	4843	4843	
43	5000	ok	|	1.00	1.00	0.57	4.00	1.00	2	|	inac	1.00	4.00	2	|	-96.0	4.00(-96)	4.00(-96)	|	4843	4843	4843	4843	4843	
44	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.02	0.02	0	|	1.0	0.10(1)	0.02(1)	|	1530	1530	1530	1530	1530	
44	5000	ok	|	1.00	1.00	0.92	4.00	1.00	2	|	inac	1.00	4.00	2	|	1.0	4.00(1)	4.00(1)	|	1530	1530	1530	1530	1530	
45	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.08	0.08	0	|	48.0	0.10(48)	0.08(48)	|	6005	6005	6005	6005	6005	
45	2506	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	6005	6005	6005	6005	6005	
46	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-17.0	0.10(-17)	0.01(-17)	|	462	462	462	462	462	
46	5000	ok	|	1.00	1.00	0.72	2.00	1.00	1	|	inac	1.00	2.00	1	|	-17.0	2.00(-17)	2.00(-17)	|	462	462	462	462	462	
47	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.04	0.04	0	|	-24.0	0.10(-24)	0.04(-24)	|	5061	5061	5061	5061	5061	
47	5000	ok	|	1.00	1.00	0.98	2.51	0.63	1	|	inac	1.00	2.51	1	|	-24.0	2.51(-24)	2.51(-24)	|	5061	5061	5061	5061	5061	
48	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	22.0	0.10(22)	0.07(22)	|	5669	5669	5669	5669	5669	
48	5000	ok	|	1.00	1.00	0.99	3.52	0.88	1	|	inac	1.00	3.52	1	|	22.0	3.52(22)	3.52(22)	|	5669	5669	5669	5669	5669	
49	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.04	0.04	0	|	60.0	0.10(60)	0.04(60)	|	1354	1354	1354	1354	1354	
49	5000	ok	|	0.98	1.00	0.98	2.17	0.54	0	|	shot	0.98	2.17	0	|	60.0	2.17(60)	2.17(60)	|	1354	1354	1354	1354	1354	
50	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	-56.0	0.10(-56)	0.07(-56)	|	8571	8571	8571	8571	8571	
50	5000	ok	|	0.93	1.00	0.99	1.48	0.74	0	|	rapi	0.93	1.48	0	|	-56.0	1.48(-56)	1.48(-56)	|	8571	8571	8571	8571	8571	
51	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.00	0.00	0	|	-96.0	0.10(-96)		|	2365	2365	2365	2365	2365	
51	5000	ok	|	1.00	1.00	0.46	4.00	1.00	2	|	inac	1.00	4.00	2	|	-96.0	4.00(-96)	4.00(-96)	|	2365	2365	2365	2365	2365	
52	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.09	0	|	69.0	0.10(69)	0.09(69)	|	6539	6539	6539	6539	6539	
52	149	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	6539	6539	6539	6539	6539	
53	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	31.0	0.10(31)	0.07(31)	|	7236	7236	7236	7236	7236	
